0 9 18 6 11 2 7 24 32 30 25 3 26 27 17 31 12 19 1 14 33 15 13 8 21 28 22 5 4 20 10 23 29 16 21.314
0 15 33 2 17 1 19 18 25 14 30 27 9 11 26 6 31 13 24 3 32 7 12 8 21 28 22 5 4 20 10 23 29 16 18.0714
0 15 33 14 1 19 12 31 17 27 26 3 25 30 24 32 7 2 11 6 18 9 13 8 21 28 22 5 4 20 10 23 29 16 15.4712
0 15 33 14 25 1 19 12 31 17 27 26 3 30 24 32 7 2 11 6 18 9 13 8 21 28 22 5 4 20 10 23 29 16 12.5471
0 15 33 7 2 11 6 18 9 13 8 21 28 22 5 4 20 10 23 29 16 14 25 1 19 12 31 17 27 26 3 30 24 32 11.4641
0 7 2 32 24 30 11 6 18 25 27 26 3 9 13 8 21 28 22 5 4 20 10 23 29 16 17 31 12 19 1 14 33 15 10.711
0 15 33 32 9 13 8 21 7 2 11 6 18 14 25 1 19 12 31 17 27 26 3 30 24 28 22 5 4 20 10 23 29 16 10.0234
0 20 10 23 29 16 14 17 31 12 19 1 25 27 26 3 30 24 32 4 5 22 28 8 13 9 18 6 21 11 2 7 33 15 8.38671
0 20 10 16 29 23 14 17 31 12 19 1 25 27 26 3 30 24 32 4 5 22 28 8 13 9 18 6 11 2 7 21 33 15 8.08238
0 20 10 16 29 23 14 17 19 12 31 1 25 27 26 3 30 24 32 4 5 22 28 8 13 9 18 6 11 2 7 21 33 15 7.90032
0 15 33 2 7 21 11 6 18 9 13 8 28 22 5 4 32 24 30 3 26 27 25 1 19 12 31 17 14 23 29 16 10 20 7.55288
0 21 7 2 11 6 18 8 13 9 28 22 5 4 32 24 30 3 26 27 25 1 19 12 31 17 14 23 29 16 10 20 33 15 7.04778
0 21 7 2 11 6 18 8 13 9 28 22 5 32 4 24 30 3 26 27 25 1 19 12 31 17 14 23 29 16 10 20 33 15 6.68502
0 7 21 2 11 6 18 8 9 28 22 5 32 4 24 30 3 13 26 27 25 1 19 12 31 17 14 23 29 16 10 20 33 15 6.08723
0 21 7 2 11 8 13 9 28 22 5 32 4 24 30 3 26 27 25 1 19 12 31 6 18 17 14 23 29 16 10 20 33 15 5.87938
0 7 21 2 11 8 9 28 22 5 32 4 24 30 3 13 26 27 25 1 19 12 31 6 18 17 14 23 29 16 10 20 33 15 5.28159
0 7 21 2 11 8 9 28 5 32 4 22 24 30 3 13 26 27 25 1 19 12 31 6 18 17 14 23 29 16 10 20 33 15 5.21183
0 7 10 16 29 23 14 17 18 6 31 12 19 1 25 27 26 13 3 30 24 4 32 5 22 28 9 8 11 2 21 20 33 15 5.18613
0 7 21 10 16 29 23 14 17 18 6 31 12 19 1 25 27 26 13 3 30 24 22 4 32 5 28 9 8 11 2 20 33 15 4.87643
0 7 21 10 16 29 23 14 18 17 6 31 12 19 1 25 27 26 13 3 30 24 22 4 32 5 28 9 8 11 2 20 33 15 4.80897
0 7 21 10 16 29 23 14 17 18 6 19 1 12 31 25 27 26 13 3 30 24 22 4 32 5 28 9 8 11 2 20 33 15 4.58107
0 7 21 10 16 29 23 14 6 18 17 19 1 12 31 25 27 26 13 3 30 24 22 4 32 5 28 9 8 11 2 20 33 15 4.35417
0 7 21 10 16 29 23 14 6 18 17 19 1 12 31 25 27 26 13 3 30 24 22 4 32 5 28 9 8 11 2 20 33 15 4.35417
