1 -5.49129 -5.49129 0
2 -5.47862 -5.48495 0.00447654
3 -5.40347 -5.45779 0.0223777
4 -5.44676 -5.45503 0.0169525
5 -5.42276 -5.44858 0.0147399
6 -5.43144 -5.44572 0.012557
7 -5.40818 -5.44036 0.011853
8 -5.45649 -5.44237 0.0105414
9 -5.42776 -5.44075 0.00949449
10 -5.41218 -5.43789 0.00896473
11 -5.46513 -5.44037 0.0084847
12 -5.44045 -5.44038 0.00777764
13 -5.46865 -5.44255 0.00747729
14 -5.42911 -5.44159 0.00700456
15 -5.44154 -5.44159 0.00653759
16 -5.44403 -5.44174 0.00613077
17 -5.45527 -5.44254 0.00582158
18 -5.39067 -5.43965 0.00617013
19 -5.46488 -5.44098 0.00598651
20 -5.42309 -5.44009 0.00575366
21 -5.42655 -5.43944 0.00551564
22 -5.45178 -5.44 0.00529336
23 -5.43015 -5.43957 0.00508052
24 -5.46057 -5.44045 0.00494359
25 -5.44727 -5.44072 0.00475337
26 -5.46473 -5.44165 0.00465937
27 -5.45435 -5.44212 0.00451048
28 -5.49262 -5.44392 0.00469623
29 -5.45238 -5.44421 0.00454335
30 -5.43486 -5.4439 0.00440259
