0 4 27 31 11 3 15 1 19 7 30 26 21 6 16 23 24 25 9 18 33 8 14 28 17 10 5 20 32 22 29 13 12 2 38.6165 53.8925
0 4 27 31 11 3 14 15 1 19 7 30 26 21 6 16 23 24 25 9 18 33 8 28 17 10 5 20 32 22 29 13 12 2 34.025 46.6601
0 4 27 31 11 3 14 15 1 19 7 30 26 21 6 16 23 24 25 9 18 33 8 28 22 29 13 12 2 17 10 5 20 32 30.2142 40.418
0 4 23 10 5 20 32 27 31 11 3 14 15 1 19 7 30 26 24 25 9 18 33 8 28 17 21 6 16 22 29 13 12 2 25.3772 36.292
0 4 23 10 5 20 32 27 31 11 3 14 15 1 19 7 30 26 24 25 9 18 33 8 28 17 21 6 16 22 29 13 12 2 25.3772 32.777
0 14 3 11 31 27 32 20 5 10 23 4 15 1 19 7 30 26 24 25 9 18 33 8 28 17 21 6 16 22 29 13 12 2 22.5416 29.829
0 4 15 18 33 8 28 17 21 6 16 22 29 13 12 2 1 19 23 27 32 20 5 10 31 11 3 14 7 30 26 24 25 9 21.5067 27.496
0 20 32 27 31 4 23 10 5 11 3 14 33 18 2 12 13 29 22 16 6 21 17 28 8 15 1 19 7 30 26 24 25 9 18.0103 25.752
0 20 32 27 31 4 23 10 5 11 3 14 33 18 2 12 13 29 16 6 21 17 28 8 22 15 1 19 7 30 26 24 25 9 17.484 24.2735
0 20 32 27 31 4 23 10 5 11 14 33 18 2 12 13 29 16 6 21 17 28 8 22 15 1 19 7 30 26 24 3 25 9 14.9237 22.314
0 20 32 27 31 4 5 11 14 33 18 2 12 13 29 16 6 21 17 28 8 22 15 23 10 1 19 7 30 26 24 3 25 9 13.604 21.1112
0 20 32 27 31 4 5 11 19 1 10 23 15 22 8 28 17 21 6 16 29 13 12 2 18 33 14 7 30 26 24 3 25 9 12.9844 19.5699
0 20 32 27 31 4 5 11 14 30 7 19 1 10 23 15 22 8 28 17 21 6 16 29 13 12 2 18 33 26 24 3 25 9 10.7264 17.7838
0 20 32 27 31 4 5 11 14 30 7 19 1 10 23 15 22 8 28 17 21 2 12 13 29 16 6 18 33 26 24 3 25 9 10.2728 16.5525
0 20 32 27 31 4 5 11 14 30 7 19 1 10 23 15 22 8 28 17 21 29 13 12 6 16 2 18 33 26 24 3 25 9 9.88368 15.7509
0 20 32 27 31 4 5 11 14 30 7 19 1 10 23 15 22 8 28 17 21 29 12 13 6 16 2 18 33 26 24 3 25 9 8.85099 14.5502
0 11 20 32 27 31 4 5 14 30 7 19 1 10 23 15 22 8 28 17 21 29 12 13 6 16 2 18 33 26 24 3 25 9 8.48447 13.6855
0 11 20 32 27 31 4 5 14 30 7 19 10 1 23 15 22 8 28 17 21 29 12 13 6 16 2 18 33 26 24 3 25 9 7.81886 12.8366
0 7 30 14 11 5 4 31 27 32 20 19 1 10 23 15 22 8 28 17 21 29 12 13 6 16 2 18 33 26 24 3 25 9 7.12651 12.2941
0 30 7 11 20 32 27 31 4 5 14 19 10 1 23 15 22 8 28 17 21 29 12 13 6 16 2 18 33 26 24 3 25 9 6.22325 11.046
0 30 7 11 20 32 27 31 4 5 14 19 10 1 23 15 22 8 28 17 21 29 12 2 16 6 13 18 33 26 24 3 25 9 5.96107 10.4599
0 30 7 11 20 32 27 31 4 5 14 19 10 1 23 15 22 17 28 8 21 29 12 2 16 6 13 18 33 26 24 3 25 9 5.84603 10.0736
0 30 7 11 20 32 27 31 4 5 14 19 10 1 23 15 17 28 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 5.4866 9.67057
0 30 7 11 20 32 27 31 4 5 14 19 10 1 15 23 17 28 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 5.47433 9.28819
0 30 7 11 14 5 4 31 27 32 20 19 10 1 23 15 17 28 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 5.36089 9.58101
0 30 7 11 20 32 27 31 4 5 14 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 4.89933 9.33975
0 30 7 11 20 32 27 31 4 5 14 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 4.89933 8.73145
0 30 7 11 20 32 27 31 14 5 4 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 4.78172 8.59177
0 30 7 11 20 32 27 14 5 4 31 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 4.67584 8.94415
0 11 20 32 27 31 4 5 14 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 7 30 4.49926 8.7612
0 11 20 32 27 31 4 5 14 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 7 30 4.49926 8.71759
0 11 20 32 27 4 31 5 14 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 3 25 9 7 30 4.49733 8.55135
0 11 20 32 27 31 4 5 14 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 25 3 9 7 30 4.33505 8.22567
0 11 20 14 5 4 31 27 32 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 25 3 9 7 30 4.19785 7.98253
0 11 20 14 5 32 27 31 4 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 25 3 9 7 30 3.81004 7.52815
0 11 20 14 5 32 27 31 4 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 25 3 9 7 30 3.81004 7.64562
0 11 32 20 14 5 4 31 27 19 10 1 28 17 15 23 8 22 21 29 12 13 6 16 2 18 33 26 24 25 3 9 7 30 3.22859 7.83225
