1 0.0490582 0.0490582 0
2 0.0489599 0.049009 3.47527e-05
3 0.0483906 0.0488029 0.000169913
4 0.0489918 0.0488501 0.000133842
5 0.0490709 0.0488943 0.000114124
6 0.0491355 0.0489345 0.000101943
7 0.0489386 0.0489351 8.7381e-05
8 0.049154 0.0489624 8.06282e-05
9 0.0487701 0.0489411 7.44482e-05
10 0.0490485 0.0489518 6.7774e-05
11 0.0490247 0.0489584 6.1936e-05
12 0.0491406 0.0489736 5.86054e-05
13 0.0489333 0.0489705 5.41792e-05
14 0.0493552 0.048998 5.6851e-05
15 0.0490563 0.0490019 5.31936e-05
16 0.0490455 0.0490046 4.99389e-05
17 0.0490669 0.0490083 4.71354e-05
18 0.0491625 0.0490168 4.52891e-05
19 0.0491779 0.0490253 4.36913e-05
20 0.0483864 0.0489934 5.1887e-05
